likes,dislikes,views,comment_count,category_id
247.99,5.9,13838.97,32.15,10.0
1298.63,36.45,99782.94,95.39,10.0
302.96,6.93,8222.03,40.7,10.0
2797.14,53.98,90528.21,176.52,10.0
996.82,51.47,40717.74,152.35,10.0
233.54,1.58,6194.29,7.34,10.0
5675.77,74.75,98530.64,315.74,10.0
851.51,27.94,20524.05,82.38,10.0
68.76,70.24,16746.78,0.0,10.0
41.86,1.37,1201.99,3.32,10.0
335.22,133.92,90044.49,100.36,10.0
214.54,23.29,4445.41,44.49,10.0
1128.26,78.84,34547.51,260.4,10.0
339.47,9.04,21903.65,42.94,10.0
1464.56,42.73,124406.41,107.99,10.0
332.41,9.31,9875.3,43.8,10.0
2948.09,57.01,98719.34,172.39,10.0
1047.53,54.43,43433.69,156.93,10.0
236.93,1.59,6353.93,7.42,10.0
5852.73,78.33,110777.25,322.1,10.0
68.76,70.26,16750.41,0.0,10.0
42.12,1.37,1209.46,3.31,10.0
336.32,134.22,90280.97,100.41,10.0
215.08,23.31,4460.79,44.58,10.0
1269.9,103.67,44634.64,292.02,10.0
402.43,11.3,28398.31,50.06,10.0
1554.69,46.5,135311.73,116.16,10.0
350.45,10.95,10933.35,46.0,10.0
3061.23,59.36,105358.9,177.96,10.0
1079.53,56.7,45398.05,161.24,10.0
239.45,1.62,6470.51,7.42,10.0
6079.03,85.57,135720.29,328.88,10.0
68.74,70.27,16754.96,0.0,10.0
42.32,1.37,1214.2,3.33,10.0
337.71,134.45,90525.16,100.53,10.0
215.6,23.32,4474.73,44.75,10.0
1710.87,23.98,25933.98,103.3,10.0
1340.11,116.52,55546.02,302.2,10.0
442.38,12.89,32954.86,54.98,10.0
1598.45,48.52,142127.29,119.53,10.0
359.18,11.51,11441.08,46.5,10.0
3129.05,60.79,109989.67,181.39,10.0
1099.41,57.87,46679.64,164.46,10.0
241.51,1.64,6574.58,7.45,10.0
6299.85,93.07,160443.11,336.28,10.0
68.73,70.29,16759.09,0.0,10.0
42.54,1.38,1218.92,3.44,10.0
338.97,134.72,90773.58,100.88,10.0
1999.38,29.6,32733.3,114.34,10.0
1381.09,123.97,62227.91,309.36,10.0
466.98,13.78,35592.9,58.44,10.0
363.93,11.64,11683.32,47.26,10.0
1620.79,49.64,148005.28,120.16,10.0
3178.06,61.9,113081.27,184.57,10.0
1110.82,58.68,47412.54,166.44,10.0
244.64,1.65,6764.26,7.46,10.0
6521.04,100.72,186389.67,342.16,10.0
339.8,134.98,90993.16,100.78,10.0
2159.96,32.46,37847.28,121.75,10.0
1406.9,128.48,66827.69,313.53,10.0
